CustomerID,Cluster
C4323244,2
C5912324,5
C1440027,0
C5792952,0
C1526033,4
C4928356,0
C1932176,4
C7327575,6
C9035381,2
C6829675,4
C7126716,0
C2221217,5
C2841588,4
C3941714,4
C3941714,0
C7840787,5
C5842412,0
C7133558,4
C5315652,4
C4182125,5
C8134867,2
C3638470,2
C1539453,4
C8327535,1
C1786231,0
C4742025,4
C1913941,4
C9015467,5
C7233718,0
C7055037,1
C2714377,7
C4298232,7
C3524685,4
C1727148,4
C7017728,4
C6738047,2
C6323464,7
C2275672,7
C8641453,0
C8238024,1
C8738775,4
C7840624,1
C5619050,1
C6214156,5
C1640437,0
C7188962,1
C8921814,4
C8233389,1
C5330515,0
C7734979,2
C5111147,4
C8896775,4
C3771241,0
C1180623,2
C5069448,1
C1432044,7
C6418548,4
C1367671,0
C4816170,6
C4628118,1
C9012148,1
C1818432,4
C7821472,7
C6638448,0
C3621173,0
C5290592,6
C1734719,0
C1313339,4
C8429212,4
C2411039,4
C4291252,4
C4413455,0
C5022479,7
C7594973,1
C1464253,4
C3450541,7
C6878639,5
C1335830,4
C4628522,1
C7234854,1
C7514871,1
C6423934,0
C5029445,2
C3024490,4
C4735626,1
C7434385,5
C7140227,0
C9027784,7
C3240167,4
C3183760,1
C4831324,5
C3914626,4
C2856676,0
C1919947,2
C8220553,1
C3935877,4
C7579736,1
C5537916,0
C7238563,4
C1526145,0
C4086259,6
C1141053,5
C6030714,5
C7313090,1
C7328617,1
C6345183,4
C8040744,1
C7063483,7
C5373128,2
C8732666,0
C3041877,4
C1932036,2
C2619057,4
C8050246,4
C4216882,0
C4625590,0
C5580266,0
C2023826,0
C4612717,4
C6773420,0
C2527268,4
C8228140,4
C8114176,2
C4582443,0
C3129944,0
C6019834,4
C3436826,0
C5019954,1
C5713258,7
C5372743,0
C6218136,1
C4739482,4
C3320991,0
C2816054,7
C2413980,5
C3519741,0
C3519741,6
C3285680,0
C3633849,0
C7721091,4
C1827346,6
C3216957,7
C1430359,4
C6077990,4
C8514370,4
C4012877,0
C6312119,4
C2415233,0
C4625953,0
C1882489,0
C6834520,4
C7222870,2
C5737724,5
C4174458,4
C7730832,2
C1434547,7
C5826162,7
C7629080,4
C6329340,1
C3833233,0
C6699353,1
C4010988,4
C7757029,4
C5615385,4
C1810875,4
C2119711,6
C8236559,0
C4898487,7
C6129357,5
C6489553,7
C1726141,4
C7319188,0
C1531366,4
C2917728,0
C2316285,0
C6826689,4
C8513247,4
C3445025,0
C4014476,4
C2076620,2
C7426418,2
C8728911,2
C6061922,4
C7332068,1
C6816622,7
C1333940,1
C1333940,1
C7714211,4
C6112016,0
C1041943,5
C5472814,4
C5622161,2
C3221741,4
C4634656,0
C6823349,4
C6531839,1
C4598269,2
C4826450,4
C5932671,1
C3879678,2
C7649065,1
C5231716,1
C6035864,7
C7021872,4
C8742089,5
C7742024,5
C6615872,2
C4638814,0
C6918238,0
C2738842,4
C6223843,5
C3018791,7
C3333758,0
C5616717,4
C5616717,5
C7627168,5
C7940043,1
C2428944,2
C3633377,0
C9042650,1
C4512379,6
C7633214,6
C2616984,0
C5765727,4
C6614838,4
C7740879,0
C7226664,7
C1416264,0
C7315661,2
C7415553,4
C7429059,0
C4219625,0
C8846377,1
C3943686,7
C2326222,5
C2016455,0
C8489457,1
C3812342,1
C1333887,2
C4937042,0
C3393260,4
C1742136,7
C5016564,7
C3526722,4
C5819820,7
C8235791,4
C3719357,4
C8931831,0
C7522434,7
C6977059,4
C1238867,2
C7722035,0
C6232769,6
C2610154,4
C2610154,1
C4226681,5
C3417144,1
C5622386,7
C4550975,4
C6734422,2
C1715340,0
C4814762,4
C3437834,6
C8223976,0
C7632979,4
C5926639,7
C2517356,1
C3219239,7
C5092362,7
C4626933,5
C6716464,2
C8820630,7
C4142641,7
C6355150,7
C1298159,1
C5510687,2
C4833072,2
C7819739,6
C2224665,7
C2814881,2
C8599852,4
C2317251,1
C5429574,4
C5920620,4
C7523038,2
C4360826,0
C5541786,1
C3420077,7
C6610685,4
C7833661,4
C2425875,7
C8513014,7
C5511046,5
C7440638,4
C3431317,1
C3842236,4
C8774546,4
C1434678,6
C9037863,7
C2234722,7
C6637748,0
C4619612,2
C7130041,7
C8816274,4
C6135745,2
C1319021,6
C3037019,2
C3227230,4
C6621586,0
C9012849,1
C7514738,0
C7020930,0
C1717159,4
C3432235,5
C2719960,4
C2525588,4
C5629526,2
C5320148,1
C2227517,5
C3064413,1
C8593911,0
C2418992,2
C4211335,7
C3719384,4
C4122172,0
C2842164,4
C5735385,1
C4421914,0
C4642529,4
C6539331,2
C6313381,4
C1121660,7
C6638253,1
C2726467,4
C4135940,0
C5831552,2
C5914950,0
C1013346,7
C7478232,4
C5541963,2
C6436621,1
C1316570,6
C6726050,4
C6557677,4
C6240059,7
C3835486,1
C4112042,7
C8135248,6
C4030436,6
C2820979,6
C8438852,4
C7925526,6
C7925526,4
C5412021,0
C3617878,1
C2527628,4
C4936069,2
C4462276,4
C8839665,0
C4523851,5
C2610184,7
C6742370,4
C1997839,1
C8076816,4
C6736052,1
C6031951,0
C4730035,4
C7012656,4
C6240819,7
C5741667,1
C3129716,0
C2120986,2
C2710718,5
C8110664,1
C8110664,4
C1511728,4
C3520973,1
C3014486,2
C3129677,7
C3216739,2
C2440078,2
C3438975,0
C6124018,4
C4158930,2
C3637321,7
C7445063,6
C6835252,0
C7241629,7
C4941060,4
C8631138,2
C5917863,4
C8223926,5
C9039931,2
C2521864,1
C4626842,0
C1942814,1
C6430182,1
C3831432,1
C7757879,4
C1913015,0
C3268034,1
C6252269,0
C2036050,2
C8913455,5
C3433750,4
C6735420,5
C3734092,0
C1514184,7
C4634121,6
C2820352,4
C3116314,0
C2713667,4
C6116784,2
C6116784,1
C3839892,4
C7835967,6
C6113527,0
C7214451,7
C6390333,0
C4232817,1
C8880542,7
C2232263,7
C5815235,5
C7028047,5
C2737857,4
C1610160,7
C3129416,4
C7019323,0
C6432344,1
C1142657,0
C1195038,4
C2221222,5
C7527018,7
C1812958,4
C1352756,0
C8942045,7
C2528726,4
C6725580,2
C3341824,7
C6933558,0
C1132027,2
C4725287,4
C1733988,2
C3340963,0
C8818821,4
C5154144,4
C3028265,2
C4541972,2
C3022157,4
C1014520,5
C6489122,5
C6439271,0
C5811580,0
C4232437,1
C2541673,0
C7118152,0
C7586549,5
C8220259,5
C1711667,4
C4740039,4
C6420760,5
C5792226,5
C1637236,6
C2144889,4
C8715867,4
C3023368,2
C4724868,0
C4724868,2
C5915428,6
C2042985,0
C1227015,4
C5221778,4
C7989062,1
C7240019,4
C3712764,0
C6539332,4
C1425559,1
C1538312,1
C7431367,5
C4427467,7
C4223943,5
C2441356,7
C2116525,5
C7621341,2
C6616668,2
C5817663,1
C1357767,0
C1825132,4
C7239319,4
C4228681,0
C1017433,6
C6737480,4
C7829843,4
C2042246,4
C4227975,2
C1418126,5
C5842123,2
C6731916,4
C8126453,4
C7598370,7
C6323024,6
C6323024,4
C7931873,4
C3889837,7
C7239758,6
C7319834,7
C2636450,4
C7238579,4
C7712577,7
C5895786,2
C5537840,7
C4838850,1
C5927516,5
C8833792,2
C2137991,0
C1815121,3
C3833338,0
C3639977,4
C3129327,4
C3129327,5
C7721523,4
C5028189,2
C7225231,0
C7225231,6
C8528341,4
C3920537,1
C3130478,0
C7226288,1
C3163660,4
C5312661,0
C1237092,1
C1916024,2
C2532988,4
C5441283,7
C5441283,4
C8028378,2
C6648324,4
C4936635,7
C4936635,2
C3934923,4
C7942233,1
C5311172,5
C1138520,7
C8727831,1
C5623882,1
C5737279,1
C4519366,4
C6512736,4
C1041478,2
C5733912,0
C6575076,0
C3029832,2
C3311877,4
C3850152,2
C5142459,0
C7741978,1
C7030477,1
C2528757,4
C7020582,1
C5034140,1
C7513347,7
C4231730,4
C5732428,6
C8386567,0
C1929019,1
C1314618,0
C3322322,2
C2618237,4
C6223118,7
C1721150,1
C4213633,0
C9015919,1
C8031642,0
C6736034,7
C2141653,4
C1212314,6
C4815742,4
C5617317,5
C3940167,4
C2241139,4
C8739729,4
C7934423,4
C4330991,7
C2515985,1
C2528849,1
C4821134,0
C4821134,4
C8732571,6
C7215719,4
C6220765,5
C6389328,4
C7113073,0
C7619625,7
C5220514,4
C3396319,0
C4537544,7
C8934528,0
C5817324,4
C5042358,4
C6020462,7
C5785763,5
C3531157,0
C3133850,4
C8568490,5
C8124142,5
C1217835,1
C1522111,7
C2427264,1
C7432131,5
C8620940,4
C3024387,1
C1928121,4
C4240037,7
C7637223,2
C1465443,7
C4335983,0
C1746457,5
C2336633,0
C3332115,5
C8011423,1
C8318839,2
C8410231,4
C5319117,1
C2726488,0
C8615438,2
C5715136,2
C5140741,0
C8020835,7
C4821081,4
C8218635,7
C7523776,5
C3741413,6
C5054689,6
C1818221,4
C2799887,6
C3412019,4
C5619654,0
C1544456,1
C7223769,6
C1239728,0
C7226941,0
C1524548,2
C1524548,7
C1942535,7
C4042521,2
C3313592,5
C3558112,4
C6019230,4
C5622391,7
C8929945,5
C1432445,0
C6817554,1
C8135458,0
C6422918,1
C1727268,7
C3139691,4
C8942659,0
C6216767,4
C1725277,0
C1549839,4
C7430913,1
C6219392,0
C6539391,0
C4723236,4
C1638057,7
C5526827,0
C5760566,1
C7641574,7
C2112321,2
C2437453,0
C5910375,0
C8836945,4
C6622522,0
C5635612,4
C2116876,0
C2126968,0
C8820637,2
C2815176,4
C4635251,0
C3321233,2
C3030557,4
C6711618,2
C7039625,4
C2721184,4
C4132661,2
C2220132,4
C2732379,0
C6235190,5
C8937483,1
C7933078,7
C2342053,6
C5423473,7
C7389040,0
C3035189,1
C8342227,4
C1338087,0
C1426525,6
C5025447,5
C2920937,0
C1212631,5
C5434553,4
C3839621,5
C1570683,4
C8267872,1
C8918080,1
C4419814,4
C6778686,2
C1028933,5
C1051771,0
C7133839,1
C3866120,0
C7928760,7
C4028538,0
C3336834,5
C4056543,6
C1215130,5
C1237411,7
C1716836,0
C7131380,0
C5760536,4
C2834573,5
C7539664,1
C2719990,4
C8196091,2
C2020141,4
C3529455,0
C2775555,2
C8426369,1
C2832978,7
C4240761,5
C2765632,0
C4011315,0
C6833522,7
C4221312,4
C3041913,0
C3441321,5
C5761019,4
C5418879,1
C6672530,4
C7215631,0
C7923152,0
C1041816,1
C1326628,4
C3056029,4
C5222450,4
C4031246,4
C4726168,5
C7213175,2
C4922621,0
C6040730,0
C8726282,7
C6119512,7
C8426341,4
C2414426,3
C3537380,4
C1614083,0
C7425165,4
C2413574,6
C1922269,5
C2226865,1
C2787176,1
C6416290,4
C1410658,2
C6038975,0
C3312738,1
C6793692,4
C2264081,7
C8738443,2
C4840712,0
C3884889,2
C5615847,1
C2629218,4
C2926420,5
C3914979,4
C1448760,0
C6621844,3
C6116360,5
C7517825,0
C7422226,5
C1622365,4
C3412083,2
C2640826,5
C5978891,4
C4615621,4
C6730655,5
C3511190,0
C7112088,5
C2693580,1
C6937172,2
C6527626,0
C7417052,7
C1211742,5
C3411388,7
C2040363,2
C4240091,2
C6757571,7
C2310680,4
C6027177,2
C5019462,7
C7630332,4
C2820536,1
C4211619,5
C8978960,5
C1315865,2
C1315865,2
C7132064,1
C8537872,0
C8138874,0
C5033376,4
C2813354,7
C3218979,7
C2516491,1
C1322918,6
C2498670,4
C3041262,1
C4813669,0
C2727572,0
C2727572,0
C6025439,5
C4410046,1
C8597711,2
C4720824,4
C4738285,0
C8362150,7
C6021019,7
C5828313,4
C3329716,2
C5731134,5
C8022677,5
C1835146,7
C6021670,0
C8328045,5
C1927835,1
C2168642,7
C3866419,5
C7249016,5
C6840271,0
C8316931,4
C8811640,4
C8322251,4
C7513764,0
C7516481,5
C7338981,0
C4192737,0
C8025453,0
C2318386,7
C8223980,5
C6921035,6
C4640290,5
C6628519,6
C9017492,4
C1434782,4
C2625685,0
C1234517,1
C1234517,4
C3235962,7
C7012350,5
C8641892,5
C6519565,0
C7314443,1
C4125314,2
C1736284,7
C5936971,1
C7013371,6
C3916853,4
C7174990,0
C7235011,1
C8220966,5
C4617442,4
C6527666,0
C4071637,7
C2144530,4
C8166134,4
C6320871,4
C8242021,0
C7927241,5
C8736846,7
C4514026,0
C3334764,5
C7134376,4
C7253945,2
C6428812,1
C1133566,4
C1422912,6
C6126926,5
C5023652,1
C1810220,4
C1718863,2
C5411267,0
C5521982,4
C5536461,1
C4629337,7
C1726790,0
C3930566,1
C2020470,4
C3681940,1
C7436749,2
C4216655,4
C2233035,5
C5128425,5
C1930640,0
C3059242,5
C1729741,4
C4041252,2
C4999219,1
C3030936,0
C6636648,7
C2640263,1
C2860471,6
C7423441,4
