"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit"
"1077501",1296599,5000,5000,4975," 36 months","10.65%",162.87,"B","B2","","10+ years","RENT",24000,"Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1077501","  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>","credit_card","Computer","860xx","AZ",27.65,0,"Jan-85",1,NA,NA,3,0,13648,"83.70%",9,"f",0,0,5863.155187,5833.84,5000,863.16,0,0,0,"Jan-15",171.62,"","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1077430",1314167,2500,2500,2500," 60 months","15.27%",59.83,"C","C4","Ryder","< 1 year","RENT",30000,"Source Verified","Dec-11","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1077430","  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>","car","bike","309xx","GA",1,0,"Apr-99",5,NA,NA,3,0,1687,"9.40%",4,"f",0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,"Apr-13",119.66,"","Sep-13",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1077175",1313524,2400,2400,2400," 36 months","15.96%",84.33,"C","C5","","10+ years","RENT",12252,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1077175","","small_business","real estate business","606xx","IL",8.72,0,"Nov-01",2,NA,NA,2,0,2956,"98.50%",10,"f",0,0,3005.666844,3005.67,2400,605.67,0,0,0,"Jun-14",649.91,"","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1076863",1277178,10000,10000,10000," 36 months","13.49%",339.31,"C","C1","AIR RESOURCES BOARD","10+ years","RENT",49200,"Source Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1076863","  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>","other","personel","917xx","CA",20,0,"Feb-96",1,35,NA,10,0,5598,"21%",37,"f",0,0,12231.89,12231.89,10000,2214.92,16.97,0,0,"Jan-15",357.48,"","Apr-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1075358",1311748,3000,3000,3000," 60 months","12.69%",67.79,"B","B5","University Medical Group","1 year","RENT",80000,"Source Verified","Dec-11","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1075358","  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>","other","Personal","972xx","OR",17.94,0,"Jan-96",0,38,NA,15,0,27783,"53.90%",38,"f",524.06,524.06,3513.33,3513.33,2475.94,1037.39,0,0,0,"May-16",67.79,"Jun-16","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1075269",1311441,5000,5000,5000," 36 months","7.90%",156.46,"A","A4","Veolia Transportaton","3 years","RENT",36000,"Source Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1075269","","wedding","My wedding loan I promise to pay back","852xx","AZ",11.2,0,"Nov-04",3,NA,NA,9,0,7963,"28.30%",12,"f",0,0,5632.21,5632.21,5000,632.21,0,0,0,"Jan-15",161.03,"","Jan-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069639",1304742,7000,7000,7000," 60 months","15.96%",170.08,"C","C5","Southern Star Photography","8 years","RENT",47004,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069639","  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>","debt_consolidation","Loan","280xx","NC",23.51,0,"Jul-05",1,NA,NA,7,0,17726,"85.60%",11,"f",0,0,10110.84,10110.84,6985.61,3125.23,0,0,0,"May-16",1313.76,"","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1072053",1288686,3000,3000,3000," 36 months","18.64%",109.43,"E","E1","MKC Accounting ","9 years","RENT",48000,"Source Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1072053","  Borrower added on 12/16/11 > Downpayment for a car.<br>","car","Car Downpayment","900xx","CA",5.35,0,"Jan-07",2,NA,NA,4,0,8221,"87.50%",4,"f",0,0,3939.135294,3939.14,3000,939.14,0,0,0,"Jan-15",111.34,"","Dec-14",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1071795",1306957,5600,5600,5600," 60 months","21.28%",152.39,"F","F2","","4 years","OWN",40000,"Source Verified","Dec-11","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1071795","  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>","small_business","Expand Business & Buy Debt Portfolio","958xx","CA",5.55,0,"Apr-04",2,NA,NA,11,0,5210,"32.60%",13,"f",0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,"Apr-12",152.39,"","Aug-12",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1071570",1306721,5375,5375,5350," 60 months","12.69%",121.45,"B","B5","Starbucks","< 1 year","RENT",15000,"Verified","Dec-11","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1071570","  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>","other","Building my credit history.","774xx","TX",18.08,0,"Sep-04",0,NA,NA,2,0,9279,"36.50%",3,"f",0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,"Nov-12",121.45,"","Mar-13",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
